*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=20231230_SCHEMATICS-COMPLETE
*Date=19:00:46
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;94.0053;-49.2127;0;Bottom;Copper Fill117
2;;;11.176;-42.2531;0;Bottom;Copper Fill101
3;;;24.4725;-12.7149;-90;Bottom;TXT1
4;;;60.6399;-14.0279;0;Bottom;TXT3
5;;;96.8415;-97.4332;0;Bottom;Hole2
6;;;19.5579;-54.2927;0;Bottom;Copper Fill33
7;;;55.1971;-38.3998;0;Bottom;TXT3
8;;;72.2883;-61.0618;0;Bottom;Copper Fill5
9;4.7k;THT;68.9016;-37.1082;-90;Bottom;#P19
10;;;88.2903;-93.6627;0;Bottom;Copper Fill70
11;;;97.5548;-85.292;0;Bottom;TXT1
12;;;18.2372;-64.694;0;Bottom;Copper Fill2
13;;;30.6275;-36.2984;-90;Bottom;TXT1
14;;;98.1498;-11.1532;-90;Bottom;TXT1
15;;;7.21283;-88.9177;-90;Bottom;TXT2
16;;;56.172;-73.457;0;Bottom;Copper Fill116
17;;;94.2212;-37.389;0;Bottom;Copper Fill136
18;;;94.2212;-21.6918;0;Bottom;Copper Fill62
19;;;51.207;-13.9881;0;Bottom;TXT3
20;;;20.772;-72.348;-90;Bottom;TXT1
21;;THT;95.1906;-49.1732;180;Bottom;#P16
22;;;67.6316;-19.3283;0;Bottom;Via49
23;;;46.6851;-6.95977;0;Bottom;Copper Fill13
24;;cap-pth-small2;58.7416;-38.3782;180;Bottom;#P22
25;;;37.7316;-5.13097;0;Bottom;Copper Fill17
26;;;13.6311;-36.1833;-90;Bottom;TXT1
27;;;9.6774;-4.40707;0;Bottom;Copper Fill93
28;;;60.9007;-22.8364;0;Bottom;TXT3
29;;;72.0766;-61.8733;0;Bottom;Via14
30;;;63.1316;-18.974;0;Bottom;Copper Fill110
31;;;69.2657;-65.1639;0;Bottom;Copper Fill123
32;;;33.8942;-5.73514;0;Bottom;IMG2
33;;;39.4461;-38.1764;0;Bottom;Copper Fill87
34;;;53.632;-27.864;0;Bottom;Copper Fill131
35;;;90.6905;-54.165;0;Bottom;TXT4
36;;;70.1716;-23.7733;0;Bottom;Via11
37;;THT;61.9166;-26.6942;-90;Bottom;#P29
38;;;13.9569;-9.1952;-90;Bottom;TXT1
39;;;53.9398;-22.9628;0;Bottom;TXT3
40;;;75.5649;-29.769;0;Bottom;Copper Fill89
41;220;THT;84.1416;-28.8532;180;Bottom;#P26
42;;THT;20.6416;-9.54916;-90;Bottom;#P40
43;;;80.6957;-82.8931;0;Bottom;Copper Fill36
44;;;30.2505;-7.15249;-90;Bottom;TXT1
45;;;43.5016;-33.2983;0;Bottom;Via40
46;;THT;61.9166;-17.8042;-90;Bottom;#P34
47;;;37.7316;-5.13097;0;Bottom;Copper Fill94
48;;;94.1401;-39.9811;0;Bottom;TXT3
49;;;76.4412;-71.298;0;Bottom;Copper Fill144
50;;;57.536;-26.8013;-90;Bottom;TXT1
51;;;50.3427;-72.7331;0;Bottom;Copper Fill52
52;;;62.7125;-7.30267;0;Bottom;Copper Fill23
53;;;10.4521;-42.977;0;Bottom;Copper Fill100
54;;THT;18.7366;-54.2532;0;Bottom;GND
55;;;17.7799;-54.2927;0;Bottom;Copper Fill32
56;;;11.0618;-35.6204;-90;Bottom;TXT1
57;;;79.0447;-31.6994;0;Bottom;Copper Fill9
58;;;18.1987;-72.6555;-90;Bottom;TXT1
59;;;61.2816;-57.4283;0;Bottom;Via29
60;;;17.9577;-20.6631;0;Bottom;Copper Fill26
61;;;33.0896;-36.2516;-90;Bottom;TXT1
62;;;63.1316;-27.864;0;Bottom;Copper Fill112
63;;;63.495;-22.9628;0;Bottom;TXT3
64;;;89.1412;-78.664;0;Bottom;Copper Fill141
65;;;95.0975;-29.5531;0;Bottom;Copper Fill66
66;;;75.8316;-15.164;0;Bottom;Copper Fill124
67;;;54.2978;-4.7917;-90;Bottom;TXT1
68;;;33.607;-32.6394;0;Bottom;TXT5
69;;;13.2295;-73.0134;-90;Bottom;TXT1
70;;;66.8527;-45.0344;0;Bottom;Copper Fill6
71;;;53.9646;-14.0787;0;Bottom;TXT3
72;;;14.2916;-37.7433;0;Bottom;Via42
73;;;40.678;-38.4812;0;Bottom;Copper Fill72
74;;;56.172;-73.457;0;Bottom;Copper Fill42
75;;;90.5915;-46.5856;0;Bottom;TXT4
76;;;80.3316;-54.8883;0;Bottom;Via16
77;;;35.1521;-7.1316;-90;Bottom;TXT1
78;;;7.0358;-68.2627;0;Bottom;Copper Fill109
79;;;53.632;-26.1368;0;Bottom;Copper Fill132
80;;;87.9093;-88.2652;0;Bottom;Copper Fill77
81;;;52.9716;-62.662;0;Bottom;Copper Fill119
82;;;44.1366;-30.1233;0;Bottom;Via44
83;;;91.9439;-39.8103;0;Bottom;TXT3
84;;;34.2805;-30.6813;0;Bottom;TXT5
85;;;59.982;-37.7192;0;Bottom;Copper Fill35
86;;;51.0304;-95.2463;0;Bottom;IMG1
87;;;52.2477;-61.9127;0;Bottom;Copper Fill120
88;5V;to220-igo;13.6566;-32.3457;180;Bottom;#P25
89;;;98.2314;-21.3754;-90;Bottom;TXT1
90;;THT;52.3916;-26.6942;-90;Bottom;#P28
91;;;3.302;-9.23307;0;Bottom;Copper Fill96
92;;;79.6966;-63.7783;0;Bottom;Via15
93;;;25.1526;-88.1792;0;Bottom;IMG4
94;;;13.6017;-31.8518;0;Bottom;Copper Fill27
95;10k;THT;84.1416;-18.0582;180;Bottom;#P36
96;;;69.2657;-65.1639;0;Bottom;Copper Fill56
97;;;7.9121;-69.139;0;Bottom;Copper Fill37
98;;;46.6766;-44.0933;0;Bottom;Via50
99;;;7.0358;-68.2627;0;Bottom;Copper Fill38
100;;cpol-radial-10uf-25v;20.0067;-20.5981;0;Bottom;#P32
101;;;34.3941;-37.5263;0;Bottom;IMG2
102;;;53.632;-18.974;0;Bottom;Copper Fill130
103;;;89.6619;-54.2292;0;Bottom;Copper Fill81
104;;THT;26.6106;-52.9832;180;Bottom;#P14
105;;;94.2212;-28.7022;0;Bottom;Copper Fill65
106;;;56.785;-4.72425;-90;Bottom;TXT1
107;;;62.0654;-52.4;-90;Bottom;TXT1
108;;;72.1105;-45.0344;0;Bottom;Copper Fill84
109;10k;THT;71.4416;-14.2482;90;Bottom;#P35
110;;;82.3721;-75.2731;0;Bottom;Copper Fill53
111;;;16.367;-36.2493;-90;Bottom;TXT1
112;;;81.2386;-11.7585;0;Bottom;TXT4
113;;;50.7465;-61.7966;0;Bottom;TXT3
114;;;18.6816;-55.1944;0;Bottom;Copper Fill103
115;;;91.404;-14.2715;0;Bottom;TXT3
116;;;10.4521;-42.977;0;Bottom;Copper Fill28
117;;;69.3165;-27.9148;0;Bottom;Copper Fill10
118;;;74.9553;-14.3131;0;Bottom;Copper Fill125
119;;;33.9766;-49.1733;0;Bottom;Via23
120;;;70.0912;-66.0148;0;Bottom;Copper Fill54
121;;;3.302;-9.23307;0;Bottom;Copper Fill20
122;;;78.1557;-18.1231;0;Bottom;Copper Fill115
123;;;97.5548;-70.5356;0;Bottom;TXT1
124;;;51.1023;-84.3084;0;Bottom;IMG3
125;;THT;91.7616;-77.4942;-90;Bottom;#P04
